zonghe,#genre#
飓风营救,http://192.168.0.109:35455/yy/1382735547
X战警系列-国外科幻片,http://192.168.0.109:35455/yy/1382735585
动物世界-领略原始野性,http://192.168.0.109:35455/yy/1382743138
美国惊险动作大片-饥饿游戏全季,http://192.168.0.109:35455/yy/1354932365
公主嫁到,http://192.168.0.109:35455/yy/1382736915
破案剧,http://192.168.0.109:35455/yy/1356158015
国内经典动作电影,http://192.168.0.109:35455/yy/1382851522
法外风云,http://192.168.0.109:35455/yy/1382736805
小米粒Mili,http://192.168.0.109:35455/yy/1382736842
国内动作大片,http://192.168.0.109:35455/yy/1382749917
老夫少妻搞笑忘年恋,http://192.168.0.109:35455/yy/1354932391
本山快乐营-爆笑小品,http://192.168.0.109:35455/yy/1354930948
Blingbling,http://192.168.0.109:35455/yy/1382851598
华矩小九er 电 正在直播,http://192.168.0.109:35455/yy/1354690927
外国科幻大片,http://192.168.0.109:35455/yy/1382747628
回家的诱惑,http://192.168.0.109:35455/yy/1354658043
名媛望族-精彩港剧,http://192.168.0.109:35455/yy/1354932431
不用加班真开心,http://192.168.0.109:35455/yy/1354930924
俺娘田小草,http://192.168.0.109:35455/yy/1382741638
洪金宝福星系列,http://192.168.0.109:35455/yy/1382851602
双喜电影,http://192.168.0.109:35455/yy/25519088
谈判专家,http://192.168.0.109:35455/yy/1382735560
神厨小福贵,http://192.168.0.109:35455/yy/1382736860
Lisa丽莎,http://192.168.0.109:35455/yy/1382736807
猩球崛起-怪兽片合集,http://192.168.0.109:35455/yy/1354930181
笑傲江湖 第2季,http://192.168.0.109:35455/yy/1382736914
周星星系列,http://192.168.0.109:35455/yy/1354888671
重生之超级赛亚人,http://192.168.0.109:35455/yy/1354936124
萌鸡小队S1-国漫,http://192.168.0.109:35455/yy/1382736904
本山快乐营,http://192.168.0.109:35455/yy/1382736852
妖神记-全集,http://192.168.0.109:35455/yy/1382735551
妖神记之黑狱篇,http://192.168.0.109:35455/yy/1382745173
【科幻电影】,http://192.168.0.109:35455/yy/1355065896
超炫科幻大片,http://192.168.0.109:35455/yy/1382736840
你爱看的抗日大片,http://192.168.0.109:35455/yy/1354936160
惊悚，恐怖欢迎点播,http://192.168.0.109:35455/yy/67857780
国外高分大片,http://192.168.0.109:35455/yy/1382736867
催泪之作-七号房的礼物,http://192.168.0.109:35455/yy/1382741637
国外动作大片,http://192.168.0.109:35455/yy/1382735540
24小时陪你看,http://192.168.0.109:35455/yy/1331686180
国外黑色喜剧：冷幽默小剧场,http://192.168.0.109:35455/yy/1382745175
百家讲坛-红楼梦篇,http://192.168.0.109:35455/yy/1382741639
惊险刺激！国内最新战争大片,http://192.168.0.109:35455/yy/1382745189
国产家庭电视剧-如果岁月可回头,http://192.168.0.109:35455/yy/1382736883
黑衣人1、2—动作喜剧大片,http://192.168.0.109:35455/yy/1354930936
港片教你追女仔—最佳损友,http://192.168.0.109:35455/yy/1382736917
鬼片恐怖私家影院,http://192.168.0.109:35455/yy/1354209316
超级英雄系列电影,http://192.168.0.109:35455/yy/1382736863
【新三国】日版,http://192.168.0.109:35455/yy/1382851457
奥斯卡战争大片,http://192.168.0.109:35455/yy/1354932397
战狼10086,http://192.168.0.109:35455/yy/1382773686
精彩动作电影,http://192.168.0.109:35455/yy/1382736823
国产喜剧,http://192.168.0.109:35455/yy/1382735584
溏心风暴之家好月圆,http://192.168.0.109:35455/yy/1354888747
法证先锋Ⅳ,http://192.168.0.109:35455/yy/1354932426
高分港剧合集,http://192.168.0.109:35455/yy/1382735542
白鹿原,http://192.168.0.109:35455/yy/1451064143
紫霞仙子被揍了,http://192.168.0.109:35455/yy/1382656234
大唐双龙传,http://192.168.0.109:35455/yy/1354930979
十亿少女的噩梦,http://192.168.0.109:35455/yy/1354921392
新白娘子4K高清观看,http://192.168.0.109:35455/yy/1508902755
百家讲坛-之女皇武则天,http://192.168.0.109:35455/yy/1354889015
欢乐集结号4,http://192.168.0.109:35455/yy/1382736889
抗日神片，燃爆抗战热血魂,http://192.168.0.109:35455/yy/1354926600
进来 陪你看电视,http://192.168.0.109:35455/yy/1353518742
老卓电影,http://192.168.0.109:35455/yy/1354770516
体验另一种生活！,http://192.168.0.109:35455/yy/1354936229
王朝-自然-纪录片,http://192.168.0.109:35455/yy/1354930927
宣萱主演-老婆大人,http://192.168.0.109:35455/yy/1382736920
许光汉-关于我和鬼变成家人的那件事,http://192.168.0.109:35455/yy/1354926671
缺宅男女-精彩港剧,http://192.168.0.109:35455/yy/1382745088
笑傲江湖 第1季,http://192.168.0.109:35455/yy/1382749896
【终极笔记】超清版,http://192.168.0.109:35455/yy/30668277
白鹿原-国内经典战争片,http://192.168.0.109:35455/yy/1354931488
笑到不行--欢乐集结号,http://192.168.0.109:35455/yy/1382749913
机动步队,http://192.168.0.109:35455/yy/1354932371
喜剧闹翻天,http://192.168.0.109:35455/yy/1382735548
高分动作大片-热血出击,http://192.168.0.109:35455/yy/1382736909
野性欧洲,http://192.168.0.109:35455/yy/1354926622
憨豆先生,http://192.168.0.109:35455/yy/1354930189
都市佳人,http://192.168.0.109:35455/yy/1382736865
地球上的地狱,http://192.168.0.109:35455/yy/1382736918
当旺爸爸-港剧,http://192.168.0.109:35455/yy/1354936208
犬夜叉，半妖四魂之玉之路,http://192.168.0.109:35455/yy/1509038705
致敬星爷致敬经典,http://192.168.0.109:35455/yy/1354889048
赵本山爆笑小品2,http://192.168.0.109:35455/yy/1354936217
万里走单骑-解密世界遗产的互动综艺,http://192.168.0.109:35455/yy/1382736853
最美的青春,http://192.168.0.109:35455/yy/1382851530
24小时循环播电视剧,http://192.168.0.109:35455/yy/53320802
太空科幻巨制-星际旅行,http://192.168.0.109:35455/yy/1382736903
什么会让你快乐,http://192.168.0.109:35455/yy/54886912
众多神仙齐上阵-封神榜,http://192.168.0.109:35455/yy/1382735625
传奇之王-影视剧,http://192.168.0.109:35455/yy/1354926735
9.8分！这部纪录片封神了,http://192.168.0.109:35455/yy/1382736825
大侦探霍桑,http://192.168.0.109:35455/yy/1382737886
超治愈！奇趣动物园,http://192.168.0.109:35455/yy/1382735545
二龙湖浩哥【经典搞笑】,http://192.168.0.109:35455/yy/28205255
丛林敢死队-国内电影,http://192.168.0.109:35455/yy/1354936214
毒液：致命守护者,http://192.168.0.109:35455/yy/1382745095
巾帼枭雄之义海豪情,http://192.168.0.109:35455/yy/1382736859
1930年代经典电影,http://192.168.0.109:35455/yy/1356363815
YY用户,http://192.168.0.109:35455/yy/85042287
1950年代经典电影,http://192.168.0.109:35455/yy/1356363878
小甜甜     经典抗战,http://192.168.0.109:35455/yy/1382658790
小鱼干,http://192.168.0.109:35455/yy/1382736816
长安汽车UNI-T直播,http://192.168.0.109:35455/yy/1349602814
你来,http://192.168.0.109:35455/yy/25444932
太空生命？高分科幻电影开播,http://192.168.0.109:35455/yy/1382851586
【新三国】,http://192.168.0.109:35455/yy/1382851415
史诗级战争大片,http://192.168.0.109:35455/yy/1382745092
能耐大了第1季,http://192.168.0.109:35455/yy/1354930195
超越种族的爱恋-暮光之城,http://192.168.0.109:35455/yy/1382745179
深夜惊悚动作大片,http://192.168.0.109:35455/yy/1382745110
环球追捕，尖峰时刻带你狂飙全球,http://192.168.0.109:35455/yy/1354658051
古装武打港剧-肝胆昆仑,http://192.168.0.109:35455/yy/1354936116
国内科幻片来袭,http://192.168.0.109:35455/yy/1354930821
解放：苏联战争巨片,http://192.168.0.109:35455/yy/1354936249
极品芝麻官,http://192.168.0.109:35455/yy/1354930984
怪医文三块-影视剧,http://192.168.0.109:35455/yy/1354936154
开心麻花出品-日不落酒店,http://192.168.0.109:35455/yy/1354936210
1920年代经典电影,http://192.168.0.109:35455/yy/1356363810
漫威电影-神奇女侠,http://192.168.0.109:35455/yy/1354933556
宇宙护卫队--国漫,http://192.168.0.109:35455/yy/1382736837
能耐大了！德云社演技爆棚,http://192.168.0.109:35455/yy/1354930915
经典动漫,http://192.168.0.109:35455/yy/24180320
远去的飞鹰-影视剧,http://192.168.0.109:35455/yy/1354930912
拆弹专家-刘德华,http://192.168.0.109:35455/yy/1382745111
一起来笑吧,http://192.168.0.109:35455/yy/1454859415
萤火虫-玄幻奇幻影视,http://192.168.0.109:35455/yy/23026835
烧脑悬疑电影,http://192.168.0.109:35455/yy/1382735571
一剑开天门,http://192.168.0.109:35455/yy/34313906
钟馗传说,http://192.168.0.109:35455/yy/1382736839
经典搞笑影片,http://192.168.0.109:35455/yy/1382749878
燃情无限流—罗拉快跑,http://192.168.0.109:35455/yy/1354936136
本山快乐营2,http://192.168.0.109:35455/yy/1382736718
鸣人和九尾的故事,http://192.168.0.109:35455/yy/1355336008
荒野求生,http://192.168.0.109:35455/yy/1382631852
战争大片,http://192.168.0.109:35455/yy/1382736819
丁大命,http://192.168.0.109:35455/yy/1382735579
降服魔女的手段-泰剧,http://192.168.0.109:35455/yy/1354932405
爆笑来袭-小品欢乐集结号,http://192.168.0.109:35455/yy/1382735558
心理追凶-烧脑港剧,http://192.168.0.109:35455/yy/1354936207
甜蜜青春-致我们暖暖的小时光,http://192.168.0.109:35455/yy/1382736874
国外经典—小鬼当家,http://192.168.0.109:35455/yy/1354658064
国产喜剧大片,http://192.168.0.109:35455/yy/1382745113
岳云鹏-屌丝抱得美人归,http://192.168.0.109:35455/yy/1382736882
1920年代经典电影,http://192.168.0.109:35455/yy/1356363876
脑洞大开的精彩科幻片,http://192.168.0.109:35455/yy/1382736723
经典喜剧-三枪拍案惊奇,http://192.168.0.109:35455/yy/1382736849
笑到发晕-李茶的姑妈,http://192.168.0.109:35455/yy/1354930816
缺宅男女,http://192.168.0.109:35455/yy/1354930937
TVB笑料王，翻生武林必看港剧,http://192.168.0.109:35455/yy/1382749910
探案悬疑经典--狄仁杰,http://192.168.0.109:35455/yy/1354930903
X战警系列电影,http://192.168.0.109:35455/yy/1382736893
值得n刷的律政俏佳人,http://192.168.0.109:35455/yy/1382745099
欢乐集结号58-70,http://192.168.0.109:35455/yy/1382745119
古往今来-秦皇汉帝的传奇,http://192.168.0.109:35455/yy/1354936228
电影黄飞鸿-燃爆武侠魂,http://192.168.0.109:35455/yy/1382736841
星球大战燃爆来袭！,http://192.168.0.109:35455/yy/1354932407
狂飙,http://192.168.0.109:35455/yy/1382627144
国内科幻,http://192.168.0.109:35455/yy/1354936170
唐伯虎点秋香-国内爆笑喜剧,http://192.168.0.109:35455/yy/1382851137
向英雄致敬！国内战争片精选,http://192.168.0.109:35455/yy/1382745124
内部测试频道请勿封禁,http://192.168.0.109:35455/yy/1352488363
战争大片,http://192.168.0.109:35455/yy/1382735556
你想象不到的国产科幻世界,http://192.168.0.109:35455/yy/1382749953
揭秘！经典传奇背后的未解之谜,http://192.168.0.109:35455/yy/1382736912
笑到颤抖，重温白头神探,http://192.168.0.109:35455/yy/1382735561
TVB-团圆,http://192.168.0.109:35455/yy/1382749944
最抚人心,http://192.168.0.109:35455/yy/1382745181
怡园区电影,http://192.168.0.109:35455/yy/1356341850
陈赫张颂文主演-一路向前,http://192.168.0.109:35455/yy/1382749912
名不虚传-韩剧,http://192.168.0.109:35455/yy/1382749904
蒋勤勤王阳演绎-田姐辣妹,http://192.168.0.109:35455/yy/1354932375
飞虎之雷霆极战,http://192.168.0.109:35455/yy/1382736869
超燃喜剧-疯狂的足球,http://192.168.0.109:35455/yy/1382749940
如沐春风,http://192.168.0.109:35455/yy/1382736810
天龙八部（国语版）,http://192.168.0.109:35455/yy/1382736855
黄金瞳,http://192.168.0.109:35455/yy/1353215589
阳光之下,http://192.168.0.109:35455/yy/1354936157
漫威经典-奇异博士,http://192.168.0.109:35455/yy/1382736843
28岁未成年,http://192.168.0.109:35455/yy/1382736873
林允张新成领衔-蜗牛与黄鹂鸟,http://192.168.0.109:35455/yy/1382851148
你最爱的小龙女-神雕侠侣,http://192.168.0.109:35455/yy/1354926637
国外巨制-我的野蛮女友,http://192.168.0.109:35455/yy/1382749911
破次元大作-蝙蝠侠大战超人,http://192.168.0.109:35455/yy/1354932441
港剧经典-我家无难事,http://192.168.0.109:35455/yy/1382736715
烧脑经典-决胜法庭,http://192.168.0.109:35455/yy/1382745190
陪你一起看好剧,http://192.168.0.109:35455/yy/1354932359
仙灵儿,http://192.168.0.109:35455/yy/1382736887
卡梅隆科幻经典大片-终结者,http://192.168.0.109:35455/yy/1354930887
欧美配音电影！！！,http://192.168.0.109:35455/yy/1354693629
张子枫彭昱畅-快把我哥带走,http://192.168.0.109:35455/yy/1354936231
燃情科幻--X战警,http://192.168.0.109:35455/yy/1382736857
看遍大好河山！国家自然纪录片,http://192.168.0.109:35455/yy/1382736913
国内奇幻电影大片,http://192.168.0.109:35455/yy/1382735627
央视精选-见字如面,http://192.168.0.109:35455/yy/1382736896
港剧迷必追！《收规华》烧脑来袭,http://192.168.0.109:35455/yy/1382741640
你看与不看我都在,http://192.168.0.109:35455/yy/1353422557
悬疑剧-河神,http://192.168.0.109:35455/yy/1353413683
金庸经典-射雕英雄传,http://192.168.0.109:35455/yy/1354889042
港剧经典-寒山潜龙,http://192.168.0.109:35455/yy/1382745103
超经典年代剧-工人大院,http://192.168.0.109:35455/yy/1382745122
国外战争大片！看到过瘾,http://192.168.0.109:35455/yy/1354930957
国风巨制-妖猫传,http://192.168.0.109:35455/yy/1382736820
武术喜剧--醉拳,http://192.168.0.109:35455/yy/1382735581
胡杏儿出演港剧-巴不得爸爸,http://192.168.0.109:35455/yy/1382749890
欢迎来到直播间,http://192.168.0.109:35455/yy/1382598103
国产抗战神剧合集,http://192.168.0.109:35455/yy/1382749950
探索真理-我们的法兰西岁月,http://192.168.0.109:35455/yy/1382745090
探寻诗歌的前世今生-诗中国,http://192.168.0.109:35455/yy/1354936178
沉睡魔咒,http://192.168.0.109:35455/yy/1354930894
非典型古装喜剧-足秤老婆八两夫,http://192.168.0.109:35455/yy/1382749905
经典港剧-潮拜武当,http://192.168.0.109:35455/yy/1354930967
爆笑小品！开心麻花街,http://192.168.0.109:35455/yy/1354926643
云淡风清，一轮江月明,http://192.168.0.109:35455/yy/25009380
雪中悍刀行,http://192.168.0.109:35455/yy/1354932707
铭记的岁月-战火青春,http://192.168.0.109:35455/yy/1354936195
探案！探案！,http://192.168.0.109:35455/yy/1382829413
开炮！,http://192.168.0.109:35455/yy/1355067965
pgsql 正在直播,http://192.168.0.109:35455/yy/53498473
抗战剧,http://192.168.0.109:35455/yy/1353852605
闫妮主演-疯狂72小时,http://192.168.0.109:35455/yy/1354936169
少年派的奇幻漂流,http://192.168.0.109:35455/yy/1354936199
迎财神-暴走财神,http://192.168.0.109:35455/yy/1354936238
精彩喜剧-一路疯癫,http://192.168.0.109:35455/yy/1382736844
tvb经典--街坊财爷,http://192.168.0.109:35455/yy/1382735566
港片-神探,http://192.168.0.109:35455/yy/1382736872
经典港片犯罪电影-寒战,http://192.168.0.109:35455/yy/1382735559
狂飙-热映电视,http://192.168.0.109:35455/yy/1414949452
香水柠檬,http://192.168.0.109:35455/yy/1509378553
民国恩仇-兰花劫,http://192.168.0.109:35455/yy/1354932409
港片剧场,http://192.168.0.109:35455/yy/1355495186
国威-仙侠古装全系列,http://192.168.0.109:35455/yy/1452527211
瑾小瑟正在直播,http://192.168.0.109:35455/yy/29600466
